                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3802,                 2.7874,                 1.6688,                0.60759,                0.60743,                0.60159,                 0.3637,                 1.3967,                 1.6888,                 1.6793,             0.00027624,             0.00027624,             0.00027624
                      2,                 1.3817,                 1.6152,                 1.6832,                0.55979,                0.55951,                0.56535,                0.34814,                 1.4878,                 1.5949,                 1.7596,             0.00054746,             0.00054746,             0.00054746
                      3,                 1.4312,                 1.6386,                  1.728,                0.63835,                0.59005,                0.60591,                0.38401,                 1.5123,                 1.6737,                 1.7844,             0.00081221,             0.00081221,             0.00081221
                      4,                 1.4224,                 1.6281,                 1.7259,                0.62756,                0.62456,                0.60157,                 0.3477,                 1.4897,                 1.6452,                 1.7739,             0.00080389,             0.00080389,             0.00080389
                      5,                 1.3738,                 1.5313,                 1.6957,                0.58831,                0.64249,                0.62542,                0.39811,                 1.3582,                 1.5738,                 1.6828,             0.00079419,             0.00079419,             0.00079419
                      6,                 1.3257,                 1.4514,                 1.6511,                0.59935,                0.63924,                0.60987,                0.39991,                 1.3666,                 1.6225,                 1.6945,             0.00078449,             0.00078449,             0.00078449
                      7,                 1.3086,                 1.4397,                 1.6336,                0.69874,                0.72556,                0.71601,                 0.4666,                  1.355,                 1.3643,                 1.6626,             0.00077479,             0.00077479,             0.00077479
                      8,                 1.2668,                 1.3614,                 1.6091,                0.73941,                 0.7285,                0.72808,                0.47129,                 1.2484,                 1.3814,                 1.5736,             0.00076509,             0.00076509,             0.00076509
                      9,                 1.2596,                 1.3119,                 1.5863,                0.76324,                0.73951,                0.72135,                0.49456,                 1.2153,                 1.2997,                 1.5386,             0.00075538,             0.00075538,             0.00075538
                     10,                  1.227,                 1.2682,                 1.5624,                0.71864,                0.75576,                0.73441,                0.49389,                  1.226,                 1.2577,                 1.5608,             0.00074568,             0.00074568,             0.00074568
                     11,                 1.2225,                 1.2373,                 1.5559,                0.69987,                0.74451,                 0.7161,                0.49696,                 1.2025,                 1.2739,                 1.5568,             0.00073598,             0.00073598,             0.00073598
                     12,                 1.2026,                 1.2191,                 1.5384,                0.73084,                 0.7403,                0.74744,                0.52513,                 1.1906,                 1.2129,                 1.5278,             0.00072628,             0.00072628,             0.00072628
                     13,                 1.1695,                 1.1609,                 1.5182,                0.79679,                0.75106,                0.76862,                0.53076,                  1.209,                 1.1986,                 1.5149,             0.00071658,             0.00071658,             0.00071658
                     14,                 1.1632,                 1.1696,                 1.5054,                0.76102,                0.74653,                0.74066,                0.52126,                 1.1855,                 1.2489,                 1.5227,             0.00070687,             0.00070687,             0.00070687
                     15,                 1.1476,                 1.1275,                 1.5045,                0.75169,                 0.7717,                0.77271,                0.56022,                 1.1358,                 1.1879,                  1.475,             0.00069717,             0.00069717,             0.00069717
                     16,                  1.143,                 1.1249,                 1.5002,                0.76327,                 0.7838,                 0.7887,                0.56315,                  1.129,                 1.1209,                  1.458,             0.00068747,             0.00068747,             0.00068747
                     17,                 1.1321,                 1.1142,                  1.488,                0.73017,                0.77933,                0.74974,                0.53448,                 1.1408,                 1.1366,                 1.4843,             0.00067777,             0.00067777,             0.00067777
                     18,                 1.1217,                 1.0793,                 1.4694,                0.77478,                0.76646,                0.78153,                0.57624,                 1.1086,                 1.0851,                 1.4455,             0.00066807,             0.00066807,             0.00066807
                     19,                 1.1061,                 1.0524,                 1.4634,                0.75009,                0.79455,                0.76291,                0.55368,                  1.103,                 1.0972,                 1.4247,             0.00065836,             0.00065836,             0.00065836
                     20,                 1.0934,                 1.0463,                 1.4484,                0.81245,                0.77947,                0.79236,                0.57518,                 1.1356,                 1.1172,                 1.4582,             0.00064866,             0.00064866,             0.00064866
                     21,                 1.0816,                  1.021,                 1.4371,                0.75748,                0.75091,                0.75736,                0.54794,                 1.1518,                 1.1134,                 1.4714,             0.00063896,             0.00063896,             0.00063896
                     22,                 1.0781,                 1.0278,                 1.4353,                0.79411,                0.80443,                0.79548,                0.57132,                 1.1673,                 1.0967,                 1.4853,             0.00062926,             0.00062926,             0.00062926
                     23,                 1.0582,                0.98467,                 1.4135,                 0.8116,                0.79041,                 0.7789,                0.57708,                 1.1038,                 1.0382,                 1.4223,             0.00061956,             0.00061956,             0.00061956
                     24,                 1.0599,                 0.9904,                 1.4235,                 0.8161,                0.80243,                0.79069,                 0.5944,                  1.105,                 1.0587,                 1.4321,             0.00060985,             0.00060985,             0.00060985
                     25,                 1.0396,                0.96737,                 1.4104,                0.79072,                0.78933,                0.80184,                0.59717,                 1.0677,                 1.0307,                 1.3973,             0.00060015,             0.00060015,             0.00060015
